PID,BIAS,REPS,Elapsed,MS
5,unrelated,3,3.113888889,1011
5,unrelated,3,5.140555556,1092
5,unrelated,3,5.688888889,1117
5,unrelated,3,2.236111111,1428
5,unrelated,3,3.996111111,1898
5,unrelated,3,5.234166667,2451
5,unrelated,30,4.285277778,841
5,unrelated,30,6.061111111,899
5,unrelated,30,3.990555556,947
5,unrelated,30,3.838333333,969
5,unrelated,30,5.564722222,1052
5,unrelated,30,2.448333333,1123
5,unrelated,30,2.223055556,1339
5,unrelated,30,1.917222222,1579
6,dominant,0,,619
6,dominant,0,,635
6,dominant,0,,930
6,dominant,0,,978
6,dominant,0,,986
6,dominant,0,,1042
6,dominant,0,,1074
6,dominant,0,,1514
6,dominant,3,6.1175,642
6,dominant,3,3.114722222,658
6,dominant,3,0.983611111,714
6,dominant,3,2.886944444,850
6,dominant,3,6.038611111,891
6,dominant,3,0.958888889,1106
6,dominant,3,1.058055556,1402
6,dominant,3,6.203611111,2626
6,dominant,30,2.749166667,538
6,dominant,30,4.418333333,762
6,dominant,30,1.531388889,762
6,dominant,30,2.668611111,858
6,dominant,30,4.48,866
6,dominant,30,1.830277778,1146
6,dominant,30,2.396111111,1154
6,dominant,30,1.922777778,1635
6,fillerREL,0,,578
6,fillerREL,0,,683
6,fillerREL,0,,707
6,fillerREL,0,,899
6,fillerREL,0,,930
6,fillerREL,0,,1202
6,fillerREL,0,,1266
6,fillerREL,0,,1386
6,fillerREL,0,,1522
6,fillerREL,0,,2162
6,fillerREL,0,,2642
6,fillerREL,0,,4603
6,fillerREL,3,3.492777778,538
6,fillerREL,3,2.776111111,586
6,fillerREL,3,3.518055556,683
6,fillerREL,3,1.299722222,778
6,fillerREL,3,3.582222222,834
6,fillerREL,3,5.684722222,834
6,fillerREL,3,4.865,882
6,fillerREL,3,6.103055556,906
6,fillerREL,3,6.135,922
6,fillerREL,3,1.125555556,930
6,fillerREL,3,3.248055556,962
6,fillerREL,3,3.340833333,1786
6,fillerREL,30,3.7225,643
6,fillerREL,30,4.889444444,651
6,fillerREL,30,5.135277778,666
6,fillerREL,30,2.336111111,666
6,fillerREL,30,2.241388889,786
6,fillerREL,30,1.55,1034
6,fillerREL,30,3.739444444,1146
6,fillerREL,30,5.821944444,1266
